"timeframe","edges_of_full_matrix","sum_inner_edges","sum_outer_edges","L1edges","L2edges","L3edges","L1edges_out","L2edges_out","L3edges_out","AUS_B_1_inner","CAN_B_1_inner","CHE_B_1_inner","CHN_B_1_inner","DEU_B_1_inner","FRA_B_1_inner","GBR_B_1_inner","ITA_B_1_inner","JPN_B_1_inner","MEX_B_1_inner","NOR_B_1_inner","USA_B_1_inner","AUS_B_2_inner","CAN_B_2_inner","CHE_B_2_inner","CHN_B_2_inner","DEU_B_2_inner","FRA_B_2_inner","GBR_B_2_inner","ITA_B_2_inner","JPN_B_2_inner","MEX_B_2_inner","NOR_B_2_inner","USA_B_2_inner","AUS_B_3_inner","CAN_B_3_inner","CHE_B_3_inner","CHN_B_3_inner","DEU_B_3_inner","FRA_B_3_inner","GBR_B_3_inner","ITA_B_3_inner","JPN_B_3_inner","MEX_B_3_inner","NOR_B_3_inner","USA_B_3_inner","AUS_B_1_outer","CAN_B_1_outer","CHE_B_1_outer","CHN_B_1_outer","DEU_B_1_outer","FRA_B_1_outer","GBR_B_1_outer","ITA_B_1_outer","JPN_B_1_outer","MEX_B_1_outer","NOR_B_1_outer","USA_B_1_outer","AUS_B_2_outer","CAN_B_2_outer","CHE_B_2_outer","CHN_B_2_outer","DEU_B_2_outer","FRA_B_2_outer","GBR_B_2_outer","ITA_B_2_outer","JPN_B_2_outer","MEX_B_2_outer","NOR_B_2_outer","USA_B_2_outer","AUS_B_3_outer","CAN_B_3_outer","CHE_B_3_outer","CHN_B_3_outer","DEU_B_3_outer","FRA_B_3_outer","GBR_B_3_outer","ITA_B_3_outer","JPN_B_3_outer","MEX_B_3_outer","NOR_B_3_outer","USA_B_3_outer","uscurve_positive"
"2004-07-01 - 2007-05-17","81","14","67","5","4","5","22","19","26","5","0","2","4","2","2","6","0","2","1","3","1","1","4","0","3","2","5","0","2","3","0","4","1","2","9","1","2","5","1","1","3","0","0","4","0","4","4","1","2","0","1","0","2","3","2","2","6","2","2","5","0","0","0","2","1","1","4","2","4","6","1","2","2","0","0","2","4","2","3","1","8","0"
"2004-07-08 - 2007-05-24","77","14","63","5","5","4","22","19","22","3","0","1","3","2","2","6","0","2","1","5","0","2","4","0","2","2","5","0","2","2","1","4","1","2","8","1","2","5","1","1","3","0","0","4","0","4","4","1","2","0","1","0","2","3","2","2","6","2","2","6","0","0","0","2","1","1","4","2","4","6","2","2","2","0","0","1","4","1","3","1","4","0"
"2004-07-15 - 2007-05-31","80","14","66","5","6","3","22","20","24","4","0","1","2","2","2","7","0","2","1","5","0","2","4","0","2","3","5","0","2","3","1","4","1","2","8","1","2","4","1","1","4","0","0","4","0","4","4","1","2","0","2","0","2","3","2","2","5","2","2","6","0","0","0","2","3","1","4","2","4","6","2","2","2","0","0","2","5","1","2","1","4","0"
"2004-07-22 - 2007-06-07","83","17","66","8","6","3","25","19","22","3","0","1","2","2","2","7","1","2","1","8","1","2","4","0","2","3","6","0","2","2","0","5","1","2","8","1","2","2","1","2","4","0","0","4","0","3","5","1","2","1","4","1","2","3","4","2","5","2","2","6","0","0","0","2","3","1","3","2","4","6","2","2","2","0","0","1","5","1","1","1","4","0"
"2004-07-29 - 2007-06-14","94","18","76","8","6","4","28","25","23","4","0","2","2","3","3","7","2","2","1","8","2","2","4","0","2","4","6","0","2","2","0","4","1","2","8","2","2","3","1","2","4","0","1","6","0","3","5","1","2","3","4","1","3","3","4","2","5","2","2","7","0","0","0","2","5","1","2","3","7","8","2","2","2","0","0","1","5","1","1","1","4","0"
"2004-08-05 - 2007-06-21","90","17","73","7","6","4","24","24","25","4","0","1","2","2","2","7","3","2","1","7","2","2","5","0","2","3","5","0","2","2","0","3","0","2","8","3","2","5","1","1","4","0","1","6","0","3","4","2","2","2","3","0","2","3","3","2","5","2","2","7","0","0","0","2","3","1","3","3","7","9","2","2","2","0","0","1","5","1","1","1","5","0"
"2004-08-12 - 2007-06-28","94","20","74","8","7","5","25","23","26","4","0","1","2","3","3","6","3","2","1","9","2","2","5","0","2","3","6","0","2","2","0","4","1","3","8","2","2","5","1","1","3","0","0","6","0","4","4","1","2","3","4","0","2","3","3","2","5","2","2","5","0","0","0","2","6","1","3","2","7","10","2","2","2","1","0","1","4","1","1","1","6","0"
"2004-08-19 - 2007-07-05","95","24","71","10","8","6","24","20","27","6","0","1","2","4","4","6","3","1","1","8","1","3","5","0","2","4","6","0","2","0","0","4","1","4","7","2","2","5","1","1","3","0","0","6","0","3","4","1","2","3","4","0","5","2","3","2","5","2","3","3","0","0","0","2","6","1","4","2","5","10","1","2","3","1","0","1","6","0","1","1","7","0"
"2004-08-26 - 2007-07-12","98","24","74","8","7","9","24","22","28","7","0","1","2","3","3","6","3","1","1","8","1","3","5","0","2","3","6","0","2","0","0","4","1","4","7","5","2","5","2","1","3","0","0","7","0","3","4","1","2","3","4","0","1","3","4","2","5","2","3","3","0","0","1","2","6","1","4","2","5","9","1","2","3","2","3","1","6","0","1","2","7","0"
"2004-09-02 - 2007-07-19","95","24","71","10","5","9","20","23","28","7","0","1","3","4","3","7","2","1","1","8","1","1","5","0","3","3","6","0","2","0","0","3","1","5","7","5","2","2","1","1","3","0","0","7","0","3","3","1","3","3","4","0","1","1","5","2","4","1","2","4","0","0","1","2","6","1","3","3","5","9","1","2","3","2","3","1","5","0","3","2","6","0"
"2004-09-09 - 2007-07-26","93","19","74","6","4","9","25","21","28","6","0","1","3","3","2","6","2","1","2","6","1","1","5","0","2","3","5","0","3","1","0","4","1","4","7","5","2","3","2","1","6","0","0","5","0","3","3","1","2","4","5","0","2","2","2","2","5","1","3","4","0","0","1","2","5","1","2","2","4","10","1","2","3","1","3","1","5","0","2","2","7","1"
"2004-09-16 - 2007-08-02","95","19","76","7","5","7","27","23","26","4","1","0","3","3","3","7","3","1","2","6","1","1","5","0","2","3","6","0","2","0","0","4","1","7","7","1","2","4","2","2","6","0","1","5","0","3","3","1","2","2","4","1","2","4","3","3","6","1","3","4","0","0","0","3","7","0","2","3","5","9","1","2","2","0","1","1","6","0","2","2","7","1"
"2004-09-23 - 2007-08-09","100","22","78","8","7","7","27","23","28","4","1","0","3","3","3","7","3","2","1","6","1","1","5","0","2","3","6","0","5","1","1","5","1","6","7","1","2","4","2","1","9","0","0","3","1","3","3","1","2","4","4","0","2","4","4","2","6","1","1","4","0","0","0","3","8","2","3","3","5","10","1","2","2","1","1","1","6","0","3","2","6","1"
"2004-09-30 - 2007-08-16","105","21","84","7","7","7","32","25","27","4","1","0","3","3","3","7","3","1","1","7","1","1","6","0","2","5","6","0","2","0","1","4","2","4","6","5","2","4","5","2","10","1","0","2","1","3","3","1","2","4","3","1","4","4","3","2","9","0","1","4","0","0","0","3","7","4","3","2","8","8","2","1","2","1","1","1","6","0","3","2","7","0"
"2004-10-07 - 2007-08-23","73","17","56","6","7","4","18","18","20","1","1","0","2","3","2","5","3","1","1","4","1","1","6","0","2","3","5","0","1","0","1","2","1","3","4","2","2","3","3","2","6","0","0","2","0","2","3","1","1","0","0","1","1","1","3","2","9","0","1","4","1","0","0","2","3","2","1","2","9","7","1","1","2","0","0","0","5","0","1","1","6","0"
"2004-10-14 - 2007-08-30","71","16","55","5","6","5","15","17","23","2","1","0","1","3","2","5","4","1","1","4","1","2","6","0","2","2","4","1","1","0","1","2","2","3","4","1","1","3","3","1","4","0","0","2","1","2","3","1","1","0","0","1","1","1","1","2","7","0","1","3","1","0","0","2","2","1","1","2","10","10","1","1","2","0","0","0","6","0","1","1","6","0"
"2004-10-21 - 2007-09-06","70","14","56","5","6","3","16","18","22","1","1","0","1","3","3","6","4","1","1","4","1","2","6","0","2","2","4","0","1","0","1","2","2","3","4","1","1","3","3","1","2","0","0","3","1","2","4","0","1","1","0","1","1","1","1","2","7","0","1","3","1","0","0","2","2","1","1","2","11","7","1","0","3","0","0","0","6","0","1","1","6","1"
"2004-10-28 - 2007-09-13","73","17","56","6","7","4","14","20","22","1","1","0","1","3","3","6","4","1","1","6","2","2","5","0","2","2","4","0","0","2","0","2","3","3","5","1","1","3","3","1","2","0","0","3","0","2","4","0","1","0","0","1","2","1","1","2","6","0","1","3","1","0","0","2","2","2","1","3","12","6","1","1","3","0","0","1","6","0","1","2","5","0"
"2004-11-04 - 2007-09-20","82","20","62","8","8","4","16","23","23","1","1","0","1","4","4","9","5","1","1","6","2","1","5","0","2","4","5","0","0","0","0","3","3","2","4","1","2","3","3","3","3","0","0","3","0","1","5","1","3","0","0","1","2","1","1","2","7","0","1","7","1","0","0","2","2","2","1","2","13","6","1","1","3","0","0","2","5","0","1","1","7","0"
"2004-11-11 - 2007-09-27","59","15","44","5","5","5","16","13","15","1","1","0","1","1","1","5","2","1","1","6","1","0","4","0","2","1","1","0","0","0","1","3","3","2","2","0","2","3","3","2","4","0","0","5","0","1","5","0","2","0","0","2","0","1","1","2","7","0","1","3","1","0","0","2","1","2","1","2","5","6","1","1","3","0","0","1","0","0","1","1","6","0"
"2004-11-18 - 2007-10-04","58","15","43","6","3","6","17","11","15","1","1","0","1","1","1","3","1","1","1","5","3","1","4","0","2","1","1","0","0","0","0","4","3","2","2","0","1","3","3","1","5","1","0","5","0","2","6","1","1","0","0","2","1","1","1","2","6","1","1","2","1","0","0","1","0","0","1","2","5","6","2","1","2","0","0","1","0","0","1","1","7","0"
"2004-11-25 - 2007-10-11","62","14","48","6","3","5","20","11","17","1","1","0","1","1","1","3","1","1","1","5","3","1","4","0","3","1","1","0","0","3","0","3","4","1","3","0","2","3","3","3","5","0","0","3","0","2","3","1","2","1","0","3","1","2","1","2","8","0","1","1","1","0","0","2","0","1","1","2","5","6","1","1","2","0","0","1","0","0","1","2","8","0"
"2004-12-02 - 2007-10-18","67","17","50","5","6","6","21","12","17","1","1","0","1","1","1","3","1","2","1","6","1","1","4","0","3","1","1","1","0","3","1","6","2","1","5","0","2","3","3","3","5","1","0","2","0","2","4","1","2","0","0","3","1","2","1","2","8","1","1","2","1","0","0","2","1","2","1","3","4","5","0","1","2","0","0","2","1","0","1","2","9","0"
"2004-12-09 - 2007-10-25","59","16","43","5","5","6","18","14","11","1","1","0","1","0","0","2","0","2","1","7","1","1","4","0","3","0","0","0","0","3","1","3","2","1","4","1","2","5","3","3","4","1","0","2","0","2","3","1","2","1","0","2","1","0","1","2","8","1","1","2","1","0","0","2","0","2","2","3","5","0","0","1","2","0","0","2","1","0","1","2","8","0"
"2004-12-16 - 2007-11-01","65","17","48","6","6","5","19","16","13","1","1","0","1","0","0","2","1","3","1","7","3","1","5","0","3","0","0","1","0","3","1","4","2","1","3","1","2","6","3","2","4","1","0","2","0","2","4","1","2","1","0","3","1","0","1","3","7","1","2","2","1","0","0","2","1","2","3","3","5","1","0","1","2","0","0","1","1","0","1","3","8","0"
