,timeframe,edges,,,timeframe,edges,,Row Labels,Count of edges,,,DEU_B_1 - MEX_B_1,70
1,2004-07-01 - 2007-05-17, - ,,,2004-07-01 - 2007-05-17, - ,,2004-07-01 - 2007-05-17,1,,,FRA_B_1 - MEX_B_1,69
2,2004-07-08 - 2007-05-24, - ,,,2004-07-08 - 2007-05-24, - ,,2004-07-08 - 2007-05-24,1,,,NOR_B_1 - MEX_B_1,43
3,2004-07-15 - 2007-05-31, - ,,,2004-07-15 - 2007-05-31, - ,,2004-07-15 - 2007-05-31,1,,,USA_B_1 - GBR_B_1,41
4,2004-07-22 - 2007-06-07, - ,,,2004-07-22 - 2007-06-07, - ,,2004-07-22 - 2007-06-07,1,,,MEX_B_1 - JPN_B_1,26
5,2004-07-29 - 2007-06-14, - ,,,2004-07-29 - 2007-06-14, - ,,2004-07-29 - 2007-06-14,1,,,MEX_B_1 - FRA_B_1,18
6,2004-08-05 - 2007-06-21, - ,,,2004-08-05 - 2007-06-21, - ,,2004-08-05 - 2007-06-21,1,,,CHN_B_1 - MEX_B_1,16
7,2004-08-12 - 2007-06-28, - ,,,2004-08-12 - 2007-06-28, - ,,2004-08-12 - 2007-06-28,1,,,CAN_B_1 - AUS_B_1,13
8,2004-08-19 - 2007-07-05, - ,,,2004-08-19 - 2007-07-05, - ,,2004-08-19 - 2007-07-05,1,,,JPN_B_1 - GBR_B_1,11
9,2004-08-26 - 2007-07-12, - ,,,2004-08-26 - 2007-07-12, - ,,2004-08-26 - 2007-07-12,1,,,USA_B_1 - NOR_B_1,9
10,2004-09-02 - 2007-07-19, - ,,,2004-09-02 - 2007-07-19, - ,,2004-09-02 - 2007-07-19,1,,,FRA_B_1 - AUS_B_1,7
11,2004-09-09 - 2007-07-26, - ,,,2004-09-09 - 2007-07-26, - ,,2004-09-09 - 2007-07-26,1,,,FRA_B_1 - NOR_B_1,7
12,2004-09-16 - 2007-08-02, - ,,,2004-09-16 - 2007-08-02, - ,,2004-09-16 - 2007-08-02,1,,,USA_B_1 - MEX_B_1,6
13,2004-09-23 - 2007-08-09, - ,,,2004-09-23 - 2007-08-09, - ,,2004-09-23 - 2007-08-09,1,,,CHN_B_1 - AUS_B_1,4
14,2004-09-30 - 2007-08-16, - ,,,2004-09-30 - 2007-08-16, - ,,2004-09-30 - 2007-08-16,1,,,JPN_B_1 - MEX_B_1,4
15,2004-10-07 - 2007-08-23, - ,,,2004-10-07 - 2007-08-23, - ,,2004-10-07 - 2007-08-23,1,,,NOR_B_1 - JPN_B_1,4
16,2004-10-14 - 2007-08-30, - ,,,2004-10-14 - 2007-08-30, - ,,2004-10-14 - 2007-08-30,1,,,CHE_B_1 - AUS_B_1,3
17,2004-10-21 - 2007-09-06, - ,,,2004-10-21 - 2007-09-06, - ,,2004-10-21 - 2007-09-06,1,,,MEX_B_1 - USA_B_1,3
18,2004-10-28 - 2007-09-13, - ,,,2004-10-28 - 2007-09-13, - ,,2004-10-28 - 2007-09-13,1,,,AUS_B_1 - NOR_B_1,2
19,2004-11-04 - 2007-09-20, - ,,,2004-11-04 - 2007-09-20, - ,,2004-11-04 - 2007-09-20,1,,,DEU_B_1 - FRA_B_1,2
20,2004-11-11 - 2007-09-27, - ,,,2004-11-11 - 2007-09-27, - ,,2004-11-11 - 2007-09-27,1,,,ITA_B_1 - FRA_B_1,2
21,2004-11-18 - 2007-10-04, - ,,,2004-11-18 - 2007-10-04, - ,,2004-11-18 - 2007-10-04,1,,,JPN_B_1 - CHE_B_1,2
22,2004-11-25 - 2007-10-11, - ,,,2004-11-25 - 2007-10-11, - ,,2004-11-25 - 2007-10-11,1,,,CAN_B_1 - GBR_B_1,1
23,2004-12-02 - 2007-10-18, - ,,,2004-12-02 - 2007-10-18, - ,,2004-12-02 - 2007-10-18,1,,,CHE_B_1 - USA_B_1,1
24,2004-12-09 - 2007-10-25, - ,,,2004-12-09 - 2007-10-25, - ,,2004-12-09 - 2007-10-25,1,,,DEU_B_1 - CAN_B_1,1
25,2004-12-16 - 2007-11-01, - ,,,2004-12-16 - 2007-11-01, - ,,2004-12-16 - 2007-11-01,1,,,GBR_B_1 - MEX_B_1,1
26,2004-12-23 - 2007-11-08, - ,,,2004-12-23 - 2007-11-08, - ,,2004-12-23 - 2007-11-08,1,,,ITA_B_1 - MEX_B_1,1
27,2004-12-30 - 2007-11-15, - ,,,2004-12-30 - 2007-11-15, - ,,2004-12-30 - 2007-11-15,1,,,MEX_B_1 - CHN_B_1,1
28,2005-01-06 - 2007-11-22, - ,,,2005-01-06 - 2007-11-22, - ,,2005-01-06 - 2007-11-22,1,,,USA_B_1 - CHE_B_1,1
29,2005-01-13 - 2007-11-29, - ,,,2005-01-13 - 2007-11-29, - ,,2005-01-13 - 2007-11-29,1,,,,
30,2005-01-20 - 2007-12-06, - ,,,2005-01-20 - 2007-12-06, - ,,2005-01-20 - 2007-12-06,1,,,,
31,2005-01-27 - 2007-12-13, - ,,,2005-01-27 - 2007-12-13, - ,,2005-01-27 - 2007-12-13,1,,,,
32,2005-02-03 - 2007-12-20, - ,,,2005-02-03 - 2007-12-20, - ,,2005-02-03 - 2007-12-20,1,,,,
33,2005-02-10 - 2007-12-27, - ,,,2005-02-10 - 2007-12-27, - ,,2005-02-10 - 2007-12-27,1,,,,
34,2005-02-17 - 2008-01-03, - ,,,2005-02-17 - 2008-01-03, - ,,2005-02-17 - 2008-01-03,1,,,,
35,2005-02-24 - 2008-01-10, - ,,,2005-02-24 - 2008-01-10, - ,,2005-02-24 - 2008-01-10,1,,,,
36,2005-03-03 - 2008-01-17, - ,,,2005-03-03 - 2008-01-17, - ,,2005-03-03 - 2008-01-17,1,,,,
37,2005-03-10 - 2008-01-24, - ,,,2005-03-10 - 2008-01-24, - ,,2005-03-10 - 2008-01-24,1,,,,
38,2005-03-17 - 2008-01-31, - ,,,2005-03-17 - 2008-01-31, - ,,2005-03-17 - 2008-01-31,1,,,,
39,2005-03-24 - 2008-02-07, - ,,,2005-03-24 - 2008-02-07, - ,,2005-03-24 - 2008-02-07,1,,,,
40,2005-03-31 - 2008-02-14, - ,,,2005-03-31 - 2008-02-14, - ,,2005-03-31 - 2008-02-14,1,,,,
41,2005-04-07 - 2008-02-21, - ,,,2005-04-07 - 2008-02-21, - ,,2005-04-07 - 2008-02-21,1,,,,
42,2005-04-14 - 2008-02-28, - ,,,2005-04-14 - 2008-02-28, - ,,2005-04-14 - 2008-02-28,1,,,,
43,2005-04-21 - 2008-03-06, - ,,,2005-04-21 - 2008-03-06, - ,,2005-04-21 - 2008-03-06,1,,,,
44,2005-04-28 - 2008-03-13, - ,,,2005-04-28 - 2008-03-13, - ,,2005-04-28 - 2008-03-13,1,,,,
45,2005-05-05 - 2008-03-20, - ,,,2005-05-05 - 2008-03-20, - ,,2005-05-05 - 2008-03-20,1,,,,
46,2005-05-12 - 2008-03-27, - ,,,2005-05-12 - 2008-03-27, - ,,2005-05-12 - 2008-03-27,1,,,,
47,2005-05-19 - 2008-04-03, - ,,,2005-05-19 - 2008-04-03, - ,,2005-05-19 - 2008-04-03,1,,,,
48,2005-05-26 - 2008-04-10, - ,,,2005-05-26 - 2008-04-10, - ,,2005-05-26 - 2008-04-10,1,,,,
49,2005-06-02 - 2008-04-17, - ,,,2005-06-02 - 2008-04-17, - ,,2005-06-02 - 2008-04-17,1,,,,
50,2005-06-09 - 2008-04-24, - ,,,2005-06-09 - 2008-04-24, - ,,2005-06-09 - 2008-04-24,1,,,,
51,2005-06-16 - 2008-05-01, - ,,,2005-06-16 - 2008-05-01, - ,,2005-06-16 - 2008-05-01,1,,,,
52,2005-06-23 - 2008-05-08, - ,,,2005-06-23 - 2008-05-08, - ,,2005-06-23 - 2008-05-08,1,,,,
53,2005-06-30 - 2008-05-15,USA_B_1 - GBR_B_1,,,2005-06-30 - 2008-05-15,USA_B_1 - GBR_B_1,,2005-06-30 - 2008-05-15,1,,,,
54,2005-07-07 - 2008-05-22,USA_B_1 - GBR_B_1,,,2005-07-07 - 2008-05-22,USA_B_1 - GBR_B_1,,2005-07-07 - 2008-05-22,1,,,,
55,2005-07-14 - 2008-05-29,USA_B_1 - GBR_B_1,,,2005-07-14 - 2008-05-29,USA_B_1 - GBR_B_1,,2005-07-14 - 2008-05-29,1,,,,
56,2005-07-21 - 2008-06-05,USA_B_1 - GBR_B_1,,,2005-07-21 - 2008-06-05,USA_B_1 - GBR_B_1,,2005-07-21 - 2008-06-05,1,,,,
57,2005-07-28 - 2008-06-12, - ,,,2005-07-28 - 2008-06-12, - ,,2005-07-28 - 2008-06-12,1,,,,
58,2005-08-04 - 2008-06-19, - ,,,2005-08-04 - 2008-06-19, - ,,2005-08-04 - 2008-06-19,1,,,,
59,2005-08-11 - 2008-06-26, - ,,,2005-08-11 - 2008-06-26, - ,,2005-08-11 - 2008-06-26,1,,,,
60,2005-08-18 - 2008-07-03,USA_B_1 - GBR_B_1,,,2005-08-18 - 2008-07-03,USA_B_1 - GBR_B_1,,2005-08-18 - 2008-07-03,1,,,,
61,2005-08-25 - 2008-07-10,USA_B_1 - GBR_B_1,,,2005-08-25 - 2008-07-10,USA_B_1 - GBR_B_1,,2005-08-25 - 2008-07-10,1,,,,
62,2005-09-01 - 2008-07-17,USA_B_1 - GBR_B_1,,,2005-09-01 - 2008-07-17,USA_B_1 - GBR_B_1,,2005-09-01 - 2008-07-17,1,,,,
63,2005-09-08 - 2008-07-24,USA_B_1 - GBR_B_1,,,2005-09-08 - 2008-07-24,USA_B_1 - GBR_B_1,,2005-09-08 - 2008-07-24,1,,,,
64,2005-09-15 - 2008-07-31, - ,,,2005-09-15 - 2008-07-31, - ,,2005-09-15 - 2008-07-31,1,,,,
65,2005-09-22 - 2008-08-07, - ,,,2005-09-22 - 2008-08-07, - ,,2005-09-22 - 2008-08-07,1,,,,
66,2005-09-29 - 2008-08-14, - ,,,2005-09-29 - 2008-08-14, - ,,2005-09-29 - 2008-08-14,1,,,,
67,2005-10-06 - 2008-08-21, - ,,,2005-10-06 - 2008-08-21, - ,,2005-10-06 - 2008-08-21,1,,,,
68,2005-10-13 - 2008-08-28, - ,,,2005-10-13 - 2008-08-28, - ,,2005-10-13 - 2008-08-28,1,,,,
