"","timeframe",""
"1","2004-07-01 - 2007-05-17"," - "
"2","2004-07-08 - 2007-05-24"," - "
"3","2004-07-15 - 2007-05-31"," - "
"4","2004-07-22 - 2007-06-07"," - "
"5","2004-07-29 - 2007-06-14"," - "
"6","2004-08-05 - 2007-06-21"," - "
"7","2004-08-12 - 2007-06-28"," - "
"8","2004-08-19 - 2007-07-05"," - "
"9","2004-08-26 - 2007-07-12"," - "
"10","2004-09-02 - 2007-07-19"," - "
"11","2004-09-09 - 2007-07-26"," - "
"12","2004-09-16 - 2007-08-02"," - "
"13","2004-09-23 - 2007-08-09"," - "
"14","2004-09-30 - 2007-08-16"," - "
"15","2004-10-07 - 2007-08-23"," - "
"16","2004-10-14 - 2007-08-30"," - "
"17","2004-10-21 - 2007-09-06"," - "
"18","2004-10-28 - 2007-09-13"," - "
"19","2004-11-04 - 2007-09-20"," - "
"20","2004-11-11 - 2007-09-27"," - "
"21","2004-11-18 - 2007-10-04"," - "
"22","2004-11-25 - 2007-10-11"," - "
"23","2004-12-02 - 2007-10-18"," - "
"24","2004-12-09 - 2007-10-25"," - "
"25","2004-12-16 - 2007-11-01"," - "
"26","2004-12-23 - 2007-11-08"," - "
"27","2004-12-30 - 2007-11-15"," - "
"28","2005-01-06 - 2007-11-22"," - "
"29","2005-01-13 - 2007-11-29"," - "
"30","2005-01-20 - 2007-12-06"," - "
"31","2005-01-27 - 2007-12-13"," - "
"32","2005-02-03 - 2007-12-20"," - "
"33","2005-02-10 - 2007-12-27"," - "
"34","2005-02-17 - 2008-01-03"," - "
"35","2005-02-24 - 2008-01-10"," - "
"36","2005-03-03 - 2008-01-17"," - "
"37","2005-03-10 - 2008-01-24"," - "
"38","2005-03-17 - 2008-01-31"," - "
"39","2005-03-24 - 2008-02-07"," - "
"40","2005-03-31 - 2008-02-14"," - "
"41","2005-04-07 - 2008-02-21"," - "
"42","2005-04-14 - 2008-02-28"," - "
"43","2005-04-21 - 2008-03-06"," - "
"44","2005-04-28 - 2008-03-13"," - "
"45","2005-05-05 - 2008-03-20"," - "
"46","2005-05-12 - 2008-03-27"," - "
"47","2005-05-19 - 2008-04-03"," - "
"48","2005-05-26 - 2008-04-10"," - "
"49","2005-06-02 - 2008-04-17"," - "
"50","2005-06-09 - 2008-04-24"," - "
"51","2005-06-16 - 2008-05-01"," - "
"52","2005-06-23 - 2008-05-08"," - "
"53","2005-06-30 - 2008-05-15","USA_B_1 - GBR_B_1"
"54","2005-07-07 - 2008-05-22","USA_B_1 - GBR_B_1"
"55","2005-07-14 - 2008-05-29","USA_B_1 - GBR_B_1"
"56","2005-07-21 - 2008-06-05","USA_B_1 - GBR_B_1"
"57","2005-07-28 - 2008-06-12"," - "
"58","2005-08-04 - 2008-06-19"," - "
"59","2005-08-11 - 2008-06-26"," - "
"60","2005-08-18 - 2008-07-03","USA_B_1 - GBR_B_1"
"61","2005-08-25 - 2008-07-10","USA_B_1 - GBR_B_1"
"62","2005-09-01 - 2008-07-17","USA_B_1 - GBR_B_1"
"63","2005-09-08 - 2008-07-24","USA_B_1 - GBR_B_1"
"64","2005-09-15 - 2008-07-31"," - "
"65","2005-09-22 - 2008-08-07"," - "
"66","2005-09-29 - 2008-08-14"," - "
"67","2005-10-06 - 2008-08-21"," - "
"68","2005-10-13 - 2008-08-28"," - "
"69","2005-10-20 - 2008-09-04"," - "
"70","2005-10-27 - 2008-09-11"," - "
"71","2005-11-03 - 2008-09-18"," - "
"72","2005-11-10 - 2008-09-25"," - "
"73","2005-11-17 - 2008-10-02"," - "
"74","2005-11-24 - 2008-10-09","USA_B_1 - GBR_B_1"
"75","2005-11-24 - 2008-10-09","USA_B_1 - NOR_B_1"
"76","2005-12-01 - 2008-10-16","USA_B_1 - GBR_B_1"
"77","2005-12-08 - 2008-10-23","USA_B_1 - GBR_B_1"
"78","2005-12-15 - 2008-10-30","USA_B_1 - GBR_B_1"
"79","2005-12-22 - 2008-11-06","USA_B_1 - GBR_B_1"
"80","2005-12-29 - 2008-11-13","USA_B_1 - GBR_B_1"
"81","2006-01-05 - 2008-11-20","USA_B_1 - GBR_B_1"
"82","2006-01-05 - 2008-11-20","AUS_B_1 - NOR_B_1"
"83","2006-01-12 - 2008-11-27","USA_B_1 - GBR_B_1"
"84","2006-01-19 - 2008-12-04","USA_B_1 - GBR_B_1"
"85","2006-01-19 - 2008-12-04","AUS_B_1 - NOR_B_1"
"86","2006-01-26 - 2008-12-11","USA_B_1 - GBR_B_1"
"87","2006-02-02 - 2008-12-18","USA_B_1 - GBR_B_1"
"88","2006-02-09 - 2008-12-25","USA_B_1 - GBR_B_1"
"89","2006-02-16 - 2009-01-01","USA_B_1 - GBR_B_1"
"90","2006-02-23 - 2009-01-08","USA_B_1 - GBR_B_1"
"91","2006-02-23 - 2009-01-08","DEU_B_1 - MEX_B_1"
"92","2006-02-23 - 2009-01-08","FRA_B_1 - MEX_B_1"
"93","2006-02-23 - 2009-01-08","USA_B_1 - NOR_B_1"
"94","2006-03-02 - 2009-01-15","USA_B_1 - NOR_B_1"
"95","2006-03-09 - 2009-01-22"," - "
"96","2006-03-16 - 2009-01-29","CHE_B_1 - AUS_B_1"
"97","2006-03-16 - 2009-01-29","FRA_B_1 - MEX_B_1"
"98","2006-03-16 - 2009-01-29","USA_B_1 - NOR_B_1"
"99","2006-03-23 - 2009-02-05","CHE_B_1 - AUS_B_1"
"100","2006-03-23 - 2009-02-05","FRA_B_1 - MEX_B_1"
"101","2006-03-23 - 2009-02-05","FRA_B_1 - NOR_B_1"
"102","2006-03-23 - 2009-02-05","USA_B_1 - NOR_B_1"
"103","2006-03-30 - 2009-02-12","CHE_B_1 - AUS_B_1"
"104","2006-03-30 - 2009-02-12","USA_B_1 - GBR_B_1"
"105","2006-03-30 - 2009-02-12","FRA_B_1 - MEX_B_1"
"106","2006-04-06 - 2009-02-19","USA_B_1 - GBR_B_1"
"107","2006-04-06 - 2009-02-19","USA_B_1 - NOR_B_1"
"108","2006-04-13 - 2009-02-26","USA_B_1 - GBR_B_1"
"109","2006-04-13 - 2009-02-26","FRA_B_1 - MEX_B_1"
"110","2006-04-13 - 2009-02-26","NOR_B_1 - MEX_B_1"
"111","2006-04-20 - 2009-03-05","DEU_B_1 - CAN_B_1"
"112","2006-04-20 - 2009-03-05","USA_B_1 - GBR_B_1"
"113","2006-04-20 - 2009-03-05","DEU_B_1 - MEX_B_1"
"114","2006-04-20 - 2009-03-05","FRA_B_1 - MEX_B_1"
"115","2006-04-20 - 2009-03-05","NOR_B_1 - MEX_B_1"
"116","2006-04-20 - 2009-03-05","USA_B_1 - NOR_B_1"
"117","2006-04-27 - 2009-03-12","USA_B_1 - GBR_B_1"
"118","2006-04-27 - 2009-03-12","DEU_B_1 - MEX_B_1"
"119","2006-04-27 - 2009-03-12","NOR_B_1 - MEX_B_1"
"120","2006-04-27 - 2009-03-12","USA_B_1 - NOR_B_1"
"121","2006-05-04 - 2009-03-19","USA_B_1 - GBR_B_1"
"122","2006-05-04 - 2009-03-19","DEU_B_1 - MEX_B_1"
"123","2006-05-04 - 2009-03-19","NOR_B_1 - MEX_B_1"
"124","2006-05-04 - 2009-03-19","USA_B_1 - NOR_B_1"
"125","2006-05-11 - 2009-03-26","USA_B_1 - GBR_B_1"
"126","2006-05-11 - 2009-03-26","DEU_B_1 - MEX_B_1"
"127","2006-05-11 - 2009-03-26","NOR_B_1 - MEX_B_1"
"128","2006-05-18 - 2009-04-02","USA_B_1 - GBR_B_1"
"129","2006-05-18 - 2009-04-02","DEU_B_1 - MEX_B_1"
"130","2006-05-18 - 2009-04-02","GBR_B_1 - MEX_B_1"
"131","2006-05-18 - 2009-04-02","NOR_B_1 - MEX_B_1"
"132","2006-05-25 - 2009-04-09","USA_B_1 - GBR_B_1"
"133","2006-05-25 - 2009-04-09","DEU_B_1 - MEX_B_1"
"134","2006-05-25 - 2009-04-09","NOR_B_1 - MEX_B_1"
"135","2006-06-01 - 2009-04-16","USA_B_1 - GBR_B_1"
"136","2006-06-01 - 2009-04-16","DEU_B_1 - MEX_B_1"
"137","2006-06-01 - 2009-04-16","FRA_B_1 - MEX_B_1"
"138","2006-06-01 - 2009-04-16","NOR_B_1 - MEX_B_1"
"139","2006-06-08 - 2009-04-23","USA_B_1 - GBR_B_1"
"140","2006-06-08 - 2009-04-23","DEU_B_1 - MEX_B_1"
"141","2006-06-08 - 2009-04-23","FRA_B_1 - MEX_B_1"
"142","2006-06-08 - 2009-04-23","NOR_B_1 - MEX_B_1"
"143","2006-06-08 - 2009-04-23","FRA_B_1 - NOR_B_1"
"144","2006-06-15 - 2009-04-30","USA_B_1 - GBR_B_1"
"145","2006-06-15 - 2009-04-30","DEU_B_1 - MEX_B_1"
"146","2006-06-15 - 2009-04-30","FRA_B_1 - MEX_B_1"
"147","2006-06-15 - 2009-04-30","NOR_B_1 - MEX_B_1"
"148","2006-06-22 - 2009-05-07","USA_B_1 - GBR_B_1"
"149","2006-06-22 - 2009-05-07","DEU_B_1 - MEX_B_1"
"150","2006-06-22 - 2009-05-07","FRA_B_1 - MEX_B_1"
"151","2006-06-22 - 2009-05-07","ITA_B_1 - MEX_B_1"
"152","2006-06-22 - 2009-05-07","NOR_B_1 - MEX_B_1"
"153","2006-06-22 - 2009-05-07","FRA_B_1 - NOR_B_1"
"154","2006-06-29 - 2009-05-14","USA_B_1 - GBR_B_1"
"155","2006-06-29 - 2009-05-14","DEU_B_1 - MEX_B_1"
"156","2006-06-29 - 2009-05-14","FRA_B_1 - MEX_B_1"
"157","2006-06-29 - 2009-05-14","NOR_B_1 - MEX_B_1"
"158","2006-06-29 - 2009-05-14","FRA_B_1 - NOR_B_1"
"159","2006-07-06 - 2009-05-21","USA_B_1 - GBR_B_1"
"160","2006-07-06 - 2009-05-21","DEU_B_1 - MEX_B_1"
"161","2006-07-06 - 2009-05-21","FRA_B_1 - MEX_B_1"
"162","2006-07-06 - 2009-05-21","NOR_B_1 - MEX_B_1"
"163","2006-07-06 - 2009-05-21","FRA_B_1 - NOR_B_1"
"164","2006-07-13 - 2009-05-28","USA_B_1 - GBR_B_1"
"165","2006-07-13 - 2009-05-28","DEU_B_1 - MEX_B_1"
"166","2006-07-13 - 2009-05-28","FRA_B_1 - MEX_B_1"
"167","2006-07-13 - 2009-05-28","NOR_B_1 - MEX_B_1"
"168","2006-07-20 - 2009-06-04","USA_B_1 - GBR_B_1"
"169","2006-07-20 - 2009-06-04","DEU_B_1 - MEX_B_1"
"170","2006-07-20 - 2009-06-04","FRA_B_1 - MEX_B_1"
"171","2006-07-20 - 2009-06-04","NOR_B_1 - MEX_B_1"
"172","2006-07-27 - 2009-06-11","USA_B_1 - GBR_B_1"
"173","2006-07-27 - 2009-06-11","DEU_B_1 - MEX_B_1"
"174","2006-07-27 - 2009-06-11","FRA_B_1 - MEX_B_1"
"175","2006-07-27 - 2009-06-11","NOR_B_1 - MEX_B_1"
"176","2006-08-03 - 2009-06-18","DEU_B_1 - MEX_B_1"
"177","2006-08-03 - 2009-06-18","FRA_B_1 - MEX_B_1"
"178","2006-08-03 - 2009-06-18","NOR_B_1 - MEX_B_1"
"179","2006-08-10 - 2009-06-25","DEU_B_1 - MEX_B_1"
"180","2006-08-10 - 2009-06-25","FRA_B_1 - MEX_B_1"
"181","2006-08-10 - 2009-06-25","NOR_B_1 - MEX_B_1"
"182","2006-08-17 - 2009-07-02","USA_B_1 - GBR_B_1"
"183","2006-08-17 - 2009-07-02","DEU_B_1 - MEX_B_1"
"184","2006-08-17 - 2009-07-02","FRA_B_1 - MEX_B_1"
"185","2006-08-17 - 2009-07-02","NOR_B_1 - MEX_B_1"
"186","2006-08-24 - 2009-07-09","DEU_B_1 - MEX_B_1"
"187","2006-08-24 - 2009-07-09","FRA_B_1 - MEX_B_1"
"188","2006-08-24 - 2009-07-09","NOR_B_1 - MEX_B_1"
"189","2006-08-31 - 2009-07-16","CHN_B_1 - MEX_B_1"
"190","2006-08-31 - 2009-07-16","DEU_B_1 - MEX_B_1"
"191","2006-08-31 - 2009-07-16","FRA_B_1 - MEX_B_1"
"192","2006-08-31 - 2009-07-16","NOR_B_1 - MEX_B_1"
"193","2006-09-07 - 2009-07-23","CHN_B_1 - MEX_B_1"
"194","2006-09-07 - 2009-07-23","DEU_B_1 - MEX_B_1"
"195","2006-09-07 - 2009-07-23","FRA_B_1 - MEX_B_1"
"196","2006-09-14 - 2009-07-30","DEU_B_1 - MEX_B_1"
"197","2006-09-14 - 2009-07-30","FRA_B_1 - MEX_B_1"
"198","2006-09-21 - 2009-08-06","DEU_B_1 - MEX_B_1"
