"timeframe",""
"2004-07-01 - 2007-05-17","USA_B_1 - AUS_B_1"
"2004-07-01 - 2007-05-17","MEX_B_1 - CHN_B_1"
"2004-07-01 - 2007-05-17","ITA_B_1 - GBR_B_1"
"2004-07-01 - 2007-05-17","USA_B_1 - JPN_B_1"
"2004-07-01 - 2007-05-17","USA_B_2 - CAN_B_2"
"2004-07-01 - 2007-05-17","ITA_B_2 - FRA_B_2"
"2004-07-01 - 2007-05-17","JPN_B_3 - CAN_B_3"
"2004-07-01 - 2007-05-17","USA_B_3 - CHE_B_3"
"2004-07-01 - 2007-05-17","USA_B_3 - DEU_B_3"
"2004-07-01 - 2007-05-17","CHE_B_3 - ITA_B_3"
"2004-07-08 - 2007-05-24","USA_B_1 - AUS_B_1"
"2004-07-08 - 2007-05-24","MEX_B_1 - CHN_B_1"
"2004-07-08 - 2007-05-24","ITA_B_1 - GBR_B_1"
"2004-07-08 - 2007-05-24","USA_B_1 - JPN_B_1"
"2004-07-08 - 2007-05-24","CHE_B_2 - AUS_B_2"
"2004-07-08 - 2007-05-24","USA_B_2 - CAN_B_2"
"2004-07-08 - 2007-05-24","ITA_B_2 - FRA_B_2"
"2004-07-08 - 2007-05-24","USA_B_3 - CHE_B_3"
"2004-07-08 - 2007-05-24","USA_B_3 - DEU_B_3"
"2004-07-08 - 2007-05-24","CHE_B_3 - ITA_B_3"
"2004-07-15 - 2007-05-31","USA_B_1 - AUS_B_1"
"2004-07-15 - 2007-05-31","MEX_B_1 - CHN_B_1"
"2004-07-15 - 2007-05-31","ITA_B_1 - GBR_B_1"
"2004-07-15 - 2007-05-31","USA_B_1 - JPN_B_1"
"2004-07-15 - 2007-05-31","CHE_B_2 - AUS_B_2"
"2004-07-15 - 2007-05-31","USA_B_2 - CAN_B_2"
"2004-07-15 - 2007-05-31","ITA_B_2 - DEU_B_2"
"2004-07-15 - 2007-05-31","ITA_B_2 - FRA_B_2"
"2004-07-15 - 2007-05-31","USA_B_3 - DEU_B_3"
"2004-07-15 - 2007-05-31","CHE_B_3 - ITA_B_3"
"2004-07-22 - 2007-06-07","USA_B_1 - AUS_B_1"
"2004-07-22 - 2007-06-07","MEX_B_1 - CHN_B_1"
"2004-07-22 - 2007-06-07","ITA_B_1 - GBR_B_1"
"2004-07-22 - 2007-06-07","USA_B_1 - JPN_B_1"
"2004-07-22 - 2007-06-07","DEU_B_1 - NOR_B_1"
"2004-07-22 - 2007-06-07","FRA_B_1 - NOR_B_1"
"2004-07-22 - 2007-06-07","MEX_B_1 - NOR_B_1"
"2004-07-22 - 2007-06-07","CHE_B_2 - AUS_B_2"
"2004-07-22 - 2007-06-07","USA_B_2 - CAN_B_2"
"2004-07-22 - 2007-06-07","ITA_B_2 - DEU_B_2"
"2004-07-22 - 2007-06-07","ITA_B_2 - FRA_B_2"
"2004-07-22 - 2007-06-07","USA_B_3 - DEU_B_3"
"2004-07-22 - 2007-06-07","CHE_B_3 - ITA_B_3"
"2004-07-29 - 2007-06-14","USA_B_1 - AUS_B_1"
"2004-07-29 - 2007-06-14","MEX_B_1 - CHN_B_1"
"2004-07-29 - 2007-06-14","ITA_B_1 - GBR_B_1"
"2004-07-29 - 2007-06-14","USA_B_1 - JPN_B_1"
"2004-07-29 - 2007-06-14","DEU_B_1 - NOR_B_1"
"2004-07-29 - 2007-06-14","FRA_B_1 - NOR_B_1"
"2004-07-29 - 2007-06-14","MEX_B_1 - NOR_B_1"
"2004-07-29 - 2007-06-14","CHE_B_2 - AUS_B_2"
"2004-07-29 - 2007-06-14","USA_B_2 - CAN_B_2"
"2004-07-29 - 2007-06-14","ITA_B_2 - DEU_B_2"
"2004-07-29 - 2007-06-14","ITA_B_2 - FRA_B_2"
"2004-07-29 - 2007-06-14","USA_B_3 - DEU_B_3"
"2004-07-29 - 2007-06-14","CHE_B_3 - ITA_B_3"
"2004-07-29 - 2007-06-14","AUS_B_3 - NOR_B_3"
"2004-08-05 - 2007-06-21","USA_B_1 - AUS_B_1"
"2004-08-05 - 2007-06-21","MEX_B_1 - CHN_B_1"
"2004-08-05 - 2007-06-21","ITA_B_1 - GBR_B_1"
"2004-08-05 - 2007-06-21","USA_B_1 - JPN_B_1"
"2004-08-05 - 2007-06-21","DEU_B_1 - NOR_B_1"
"2004-08-05 - 2007-06-21","MEX_B_1 - NOR_B_1"
"2004-08-05 - 2007-06-21","CHE_B_2 - AUS_B_2"
"2004-08-05 - 2007-06-21","USA_B_2 - CAN_B_2"
"2004-08-05 - 2007-06-21","ITA_B_2 - DEU_B_2"
"2004-08-05 - 2007-06-21","ITA_B_2 - FRA_B_2"
"2004-08-05 - 2007-06-21","USA_B_3 - DEU_B_3"
"2004-08-05 - 2007-06-21","CHE_B_3 - ITA_B_3"
"2004-08-05 - 2007-06-21","AUS_B_3 - NOR_B_3"
"2004-08-12 - 2007-06-28","USA_B_1 - AUS_B_1"
"2004-08-12 - 2007-06-28","MEX_B_1 - CHN_B_1"
"2004-08-12 - 2007-06-28","ITA_B_1 - GBR_B_1"
"2004-08-12 - 2007-06-28","USA_B_1 - JPN_B_1"
"2004-08-12 - 2007-06-28","FRA_B_1 - NOR_B_1"
"2004-08-12 - 2007-06-28","MEX_B_1 - NOR_B_1"
"2004-08-12 - 2007-06-28","CHE_B_2 - AUS_B_2"
"2004-08-12 - 2007-06-28","USA_B_2 - CAN_B_2"
"2004-08-12 - 2007-06-28","ITA_B_2 - DEU_B_2"
"2004-08-12 - 2007-06-28","CHE_B_2 - FRA_B_2"
"2004-08-12 - 2007-06-28","ITA_B_2 - FRA_B_2"
"2004-08-12 - 2007-06-28","USA_B_3 - DEU_B_3"
"2004-08-12 - 2007-06-28","CHE_B_3 - ITA_B_3"
"2004-08-12 - 2007-06-28","AUS_B_3 - NOR_B_3"
"2004-08-19 - 2007-07-05","USA_B_1 - AUS_B_1"
"2004-08-19 - 2007-07-05","MEX_B_1 - CHN_B_1"
"2004-08-19 - 2007-07-05","ITA_B_1 - GBR_B_1"
"2004-08-19 - 2007-07-05","USA_B_1 - JPN_B_1"
"2004-08-19 - 2007-07-05","FRA_B_1 - NOR_B_1"
"2004-08-19 - 2007-07-05","MEX_B_1 - NOR_B_1"
"2004-08-19 - 2007-07-05","CAN_B_2 - AUS_B_2"
"2004-08-19 - 2007-07-05","MEX_B_2 - AUS_B_2"
"2004-08-19 - 2007-07-05","USA_B_2 - CAN_B_2"
"2004-08-19 - 2007-07-05","CHE_B_2 - FRA_B_2"
"2004-08-19 - 2007-07-05","ITA_B_3 - AUS_B_3"
"2004-08-19 - 2007-07-05","USA_B_3 - DEU_B_3"
"2004-08-19 - 2007-07-05","CHE_B_3 - ITA_B_3"
"2004-08-19 - 2007-07-05","AUS_B_3 - NOR_B_3"
"2004-08-26 - 2007-07-12","USA_B_1 - AUS_B_1"
